flow,src,src_port,dst,dst_port,feduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgSegmentSize,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,label
192.168.0.11:54768<->192.124.249.36:80,192.168.0.11,54768,192.124.249.36,80,20.96032,6,6,709,2653,54,60,425,1490,118.1666667,442.1666667,150.3880536,613.6325991,20.944509,20.593417,0.000373,0,10.094919,10.094919,4.1889018,4.1186834,5.363140654,5.433634682,1,1,0,0,0,0,0.286255172,0.286255172,0.572510343,160.3983146,54,1490,280.1666667,458.3305344,0,10.094919,1.905483636,4.029504728,0,2,0,2,11,0,0,0,0.267244629,280.1666667,62.16666667,607.7142857,1.166666667,0.608695652,382.1666667,0,1.333333333,0.695652174,WWW
192.168.0.11:64005<->202.88.149.25:53,192.168.0.11,64005,202.88.149.25,53,0.099515915,1,1,78,150,78,150,78,150,78,150,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,10.04864398,10.04864398,20.09728796,2291.090827,78,150,114,50.91168825,0.099516,0.099516,0.099516,0,0,0,0,0,0,0,0,0,0.52,114,36,78,1,0.666666667,108,0,1,0.666666667,WWW
192.168.0.11:64005<->202.88.149.6:53,192.168.0.11,64005,202.88.149.6,53,0.086251974,1,1,78,150,78,150,78,150,78,150,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,11.59393755,11.59393755,23.1878751,2643.417761,78,150,114,50.91168825,0.086252,0.086252,0.086252,0,0,0,0,0,0,0,0,0,0.52,114,36,78,1,0.666666667,108,0,1,0.666666667,WWW
192.168.0.11:55625<->202.88.149.25:53,192.168.0.11,55625,202.88.149.25,53,0.020488978,1,1,81,362,81,362,81,362,81,362,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,48.80672916,48.80672916,97.61345832,21621.38102,81,362,221.5,198.6970055,0.020489,0.020489,0.020489,0,0,0,0,0,0,0,0,0,0.223756906,221.5,39,81,1,0.666666667,320,0,1,0.666666667,WWW
192.168.0.11:54769<->202.88.147.49:443,192.168.0.11,54769,202.88.147.49,443,20.47112393,12,13,1711,8430,54,60,571,1490,142.5833333,648.4615385,181.6947782,578.0999936,20.425196,20.452478,0.000565,0,10.070905,10.070905,1.856836,1.704373167,4.049263851,3.907450836,3,6,0,0,0,0,0.586191556,0.635040853,1.221232409,495.3807144,54,1490,405.64,498.7665519,0,10.04715,0.8529635,2.828003422,0,2,0,9,24,0,0,0,0.202965599,405.64,85.58333333,708,2.416666667,0.461195929,591.6923077,0,3.307692308,0.63123899,WWW
192.168.0.11:63501<->202.88.149.25:53,192.168.0.11,63501,202.88.149.25,53,0.037365913,1,1,81,281,81,281,81,281,81,281,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,26.76235959,26.76235959,53.52471917,9687.97417,81,281,181,141.4213562,0.037366,0.037366,0.037366,0,0,0,0,0,0,0,0,0,0.288256228,181,39,81,1,0.666666667,239,0,1,0.666666667,WWW
192.168.0.11:55892<->202.88.149.25:53,192.168.0.11,55892,202.88.149.25,53,0.033074141,1,1,78,487,78,487,78,487,78,487,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,30.23510119,30.23510119,60.47020239,17082.83217,78,487,282.5,289.2066735,0.033074,0.033074,0.033074,0,0,0,0,0,0,0,0,0,0.160164271,282.5,36,78,1,0.666666667,445,0,1,0.666666667,WWW
192.168.0.11:63524<->202.88.149.25:53,192.168.0.11,63524,202.88.149.25,53,0.084528923,1,1,84,553,84,553,84,553,84,553,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,11.83027021,11.83027021,23.66054043,7535.882126,84,553,318.5,331.6330804,0.084529,0.084529,0.084529,0,0,0,0,0,0,0,0,0,0.151898734,318.5,42,84,1,0.666666667,511,0,1,0.666666667,WWW
192.168.0.11:63501<->202.88.149.6:53,192.168.0.11,63501,202.88.149.6,53,0.095993042,1,1,81,281,81,281,81,281,81,281,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,10.41742171,10.41742171,20.83484343,3771.10666,81,281,181,141.4213562,0.095993,0.095993,0.095993,0,0,0,0,0,0,0,0,0,0.288256228,181,39,81,1,0.666666667,239,0,1,0.666666667,WWW
192.168.0.11:56748<->202.88.149.25:53,192.168.0.11,56748,202.88.149.25,53,0.081169129,1,1,70,351,70,351,70,351,70,351,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,12.31995479,12.31995479,24.63990959,5186.700969,70,351,210.5,198.6970055,0.081169,0.081169,0.081169,0,0,0,0,0,0,0,0,0,0.199430199,210.5,28,70,1,0.666666667,309,0,1,0.666666667,WWW
192.168.0.11:61979<->202.88.149.25:53,192.168.0.11,61979,202.88.149.25,53,0.107831001,1,1,81,305,81,305,81,305,81,305,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,9.273770907,9.273770907,18.54754181,3579.67557,81,305,193,158.391919,0.107831,0.107831,0.107831,0,0,0,0,0,0,0,0,0,0.26557377,193,39,81,1,1,263,0,1,1,WWW
192.168.0.11:60215<->202.88.149.25:53,192.168.0.11,60215,202.88.149.25,53,0.09584713,1,1,70,483,70,483,70,483,70,483,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,10.43328058,10.43328058,20.86656116,5769.60416,70,483,276.5,292.0351006,0.095847,0.095847,0.095847,0,0,0,0,0,0,0,0,0,0.144927536,276.5,28,70,1,0.666666667,441,0,1,0.666666667,WWW
192.168.0.11:54770<->34.255.243.34:443,192.168.0.11,54770,34.255.243.34,443,13.38649416,44,41,11513,17929,54,60,1490,1490,261.6590909,437.2926829,327.4067198,518.4572424,13.386494,13.02617,0,0,4.155974,4.155974,0.311313814,0.32565425,0.706352698,0.794084428,24,22,0,0,0,0,3.286894946,3.062788472,6.349683419,2199.380932,54,1490,346.3764706,436.6538614,0,4.155974,0.159363024,0.522804544,0,2,0,46,84,0,0,0,0.642144012,346.3764706,207.3863636,6578.857143,1.75,0.619791667,383,0,2.097560976,0.742886179,WWW
192.168.0.11:54782<->202.88.149.25:53,192.168.0.11,54782,202.88.149.25,53,0.111086845,1,1,78,487,78,487,78,487,78,487,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,9.001965984,9.001965984,18.00393197,5086.110781,78,487,282.5,289.2066735,0.111087,0.111087,0.111087,0,0,0,0,0,0,0,0,0,0.160164271,282.5,36,78,1,1,445,0,1,1,WWW
192.168.0.11:50279<->202.88.149.25:53,192.168.0.11,50279,202.88.149.25,53,0.110970974,1,1,80,409,80,409,80,409,80,409,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,9.01136544,9.01136544,18.02273088,4406.5577,80,409,244.5,232.638131,0.110971,0.110971,0.110971,0,0,0,0,0,0,0,0,0,0.195599022,244.5,38,80,1,1,367,0,1,1,WWW
192.168.0.11:63524<->202.88.149.6:53,192.168.0.11,63524,202.88.149.6,53,0.114039898,1,1,84,553,84,553,84,553,84,553,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,8.768860877,8.768860877,17.53772175,5585.764379,84,553,318.5,331.6330804,0.11404,0.11404,0.11404,0,0,0,0,0,0,0,0,0,0.151898734,318.5,42,84,1,1,511,0,1,1,WWW
192.168.0.11:65068<->202.88.149.25:53,192.168.0.11,65068,202.88.149.25,53,0.098718881,1,1,72,339,72,339,72,339,72,339,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,10.12977447,10.12977447,20.25954893,4163.337305,72,339,205.5,188.7975106,0.098719,0.098719,0.098719,0,0,0,0,0,0,0,0,0,0.212389381,205.5,30,72,1,0.666666667,297,0,1,0.666666667,WWW
192.168.0.11:56748<->202.88.149.6:53,192.168.0.11,56748,202.88.149.6,53,0.099847794,1,1,70,307,70,307,70,307,70,307,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,10.0152438,10.0152438,20.0304876,3775.746913,70,307,188.5,167.5843071,0.099848,0.099848,0.099848,0,0,0,0,0,0,0,0,0,0.228013029,188.5,28,70,1,0.666666667,265,0,1,0.666666667,WWW
192.168.0.11:61979<->202.88.149.6:61979,192.168.0.11,61979,202.88.149.6,53,1,1,0,81,0,81,0,81,0,81,0,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,1,1,1,81,81,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,39,0,0,0,0,0,0,0,WWW
192.168.0.11:60215<->202.88.149.6:53,192.168.0.11,60215,202.88.149.6,53,0.116212845,1,1,70,483,70,483,70,483,70,483,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,8.604900775,8.604900775,17.20980155,4758.510129,70,483,276.5,292.0351006,0.116213,0.116213,0.116213,0,0,0,0,0,0,0,0,0,0.144927536,276.5,28,70,1,1,441,0,1,1,WWW
192.168.0.11:54782<->202.88.149.6:53,192.168.0.11,54782,202.88.149.6,53,0.140017987,1,1,78,471,78,471,78,471,78,471,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,7.141939557,7.141939557,14.28387911,3920.924817,78,471,274.5,277.892965,0.140018,0.140018,0.140018,0,0,0,0,0,0,0,0,0,0.165605096,274.5,36,78,1,1,429,0,1,1,WWW
192.168.0.11:50279<->202.88.149.6:53,192.168.0.11,50279,202.88.149.6,53,0.140017033,1,1,80,293,80,293,80,293,80,293,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,7.141988218,7.141988218,14.28397644,2663.961605,80,293,186.5,150.6137444,0.140017,0.140017,0.140017,0,0,0,0,0,0,0,0,0,0.273037543,186.5,38,80,1,1,251,0,1,1,WWW
192.168.0.11:65068<->202.88.149.6:53,192.168.0.11,65068,202.88.149.6,53,0.121929884,1,1,72,339,72,339,72,339,72,339,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,8.201434851,8.201434851,16.4028697,3370.789724,72,339,205.5,188.7975106,0.12193,0.12193,0.12193,0,0,0,0,0,0,0,0,0,0.212389381,205.5,30,72,1,1,297,0,1,1,WWW
192.168.0.11:54771<->192.124.249.36:80,192.168.0.11,54771,192.124.249.36,80,5.997355938,4,3,228,186,54,60,66,66,57,62,6,3.464101615,5.997356,5.632516,0.296971,0.277868,5.33551,5.33551,1.999118667,2.816258,2.889599122,3.589825565,0,0,0,0,0,0,0.666960581,0.500220436,1.167181016,69.03042012,54,66,59.14285714,5.398412465,0.000053,5.33551,0.999559333,2.1299576,2,2,0,0,6,0,0,0,1.225806452,59.14285714,0,228,1,0.7,4,0,1,0.7,WWW
192.168.0.11:54772<->205.180.86.178:443,192.168.0.11,54772,205.180.86.178,443,15.65848899,1,4,66,248,66,62,66,62,66,62,0,0,0,14.059074,1611076526,2.004518,1611076526,1611076526,0,4.686358,0,3.063104267,0,0,0,0,0,0,0.063863122,0.25545249,0.319315612,20.05302046,62,66,62.8,1.788854382,1.599415,8.024378,3.91462225,2.938941324,0,5,0,0,4,0,0,0,0.266129032,62.8,0,66,1,1,0,0,1,1,WWW
192.168.0.11:56828<->202.88.149.25:56828,192.168.0.11,56828,202.88.149.25,53,1,1,0,83,0,83,0,83,0,83,0,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,1,1,1,83,83,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,41,0,0,0,0,0,0,0,WWW
192.168.0.11:63308<->202.88.149.25:53,192.168.0.11,63308,202.88.149.25,53,0.104184866,1,1,82,303,82,303,82,303,82,303,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,9.598323042,9.598323042,19.19664608,3695.354371,82,303,192.5,156.2705986,0.104185,0.104185,0.104185,0,0,0,0,0,0,0,0,0,0.270627063,192.5,40,82,1,1,261,0,1,1,WWW
